id;start_date;end_date;language
1;2019-05-20T16:21:19;2019-05-20T09:29:37;FRENCH
2;2019-05-20T17:51:25;2019-05-20T02:57:35;FRENCH
3;2019-05-20T13:23:29;2019-05-20T04:47:29;FRENCH
4;2019-05-20T02:35:21;2019-05-20T10:02:22;FRENCH
5;2019-05-20T11:34:00;2019-05-20T16:18:09;FRENCH
6;2019-05-20T17:51:00;2019-05-20T19:07:57;FRENCH
7;2019-05-20T03:13:20;2019-05-20T15:54:07;FRENCH
8;2019-05-20T00:44:39;2019-05-20T08:44:48;FRENCH
9;2019-05-20T10:32:45;2019-05-20T18:57:23;FRENCH
10;2019-05-20T13:50:54;2019-05-20T11:07:09;FRENCH
